test_type,max,size,time
Descending,42000000,42000000,0.872
Semi-Random,42000000,42000000,0.941
Random-Max,150000144,42000000,1.315
Random-Min,10,42000000,0.585
Random,40500000,40500000,1.231
Ascending,40500000,40500000,0.944
Descending,40500000,40500000,0.837
Semi-Random,40500000,40500000,0.883
Random-Max,150000146,40500000,1.236
Random-Min,10,40500000,0.558
Random,39000000,39000000,1.187
Ascending,39000000,39000000,0.915
Descending,39000000,39000000,0.809
Semi-Random,39000000,39000000,0.872
Random-Max,150000148,39000000,1.185
Random-Min,10,39000000,0.539
Random,37500000,37500000,1.139
Ascending,37500000,37500000,0.823
Descending,37500000,37500000,0.768
Semi-Random,37500000,37500000,0.84
Random-Max,150000150,37500000,1.145
Random-Min,10,37500000,0.515
Random,36000000,36000000,1.087
Ascending,36000000,36000000,0.815
Descending,36000000,36000000,0.732
Semi-Random,36000000,36000000,0.795
Random-Max,150000152,36000000,1.089
Random-Min,10,36000000,0.512
Random,34500000,34500000,1.053
Ascending,34500000,34500000,0.758
Descending,34500000,34500000,0.698
Semi-Random,34500000,34500000,0.777
Random-Max,150000154,34500000,1.032
Random-Min,10,34500000,0.489
Random,33000000,33000000,0.992
Ascending,33000000,33000000,0.732
Descending,33000000,33000000,0.673
Semi-Random,33000000,33000000,0.75
Random-Max,150000156,33000000,0.994
Random-Min,10,33000000,0.466
Random,31500000,31500000,0.946
Ascending,31500000,31500000,0.695
Descending,31500000,31500000,0.648
Semi-Random,31500000,31500000,0.699
Random-Max,150000158,31500000,0.953
Random-Min,10,31500000,0.443
Random,30000000,30000000,0.9
Ascending,30000000,30000000,0.677
Descending,30000000,30000000,0.631
Semi-Random,30000000,30000000,0.662
Random-Max,150000160,30000000,0.914
Random-Min,10,30000000,0.413
Random,28500000,28500000,0.863
Ascending,28500000,28500000,0.641
Descending,28500000,28500000,0.586
Semi-Random,28500000,28500000,0.623
Random-Max,150000162,28500000,0.856
Random-Min,10,28500000,0.391
Random,27000000,27000000,0.82
Ascending,27000000,27000000,0.611
Descending,27000000,27000000,0.561
Semi-Random,27000000,27000000,0.588
Random-Max,150000164,27000000,0.822
Random-Min,10,27000000,0.379
Random,25500000,25500000,0.758
Ascending,25500000,25500000,0.573
Descending,25500000,25500000,0.521
Semi-Random,25500000,25500000,0.566
Random-Max,150000166,25500000,0.759
Random-Min,10,25500000,0.349
Random,24000000,24000000,0.711
Ascending,24000000,24000000,0.536
Descending,24000000,24000000,0.494
Semi-Random,24000000,24000000,0.545
Random-Max,150000168,24000000,0.714
Random-Min,10,24000000,0.328
Random,22500000,22500000,0.671
Ascending,22500000,22500000,0.502
Descending,22500000,22500000,0.48
Semi-Random,22500000,22500000,0.504
Random-Max,150000170,22500000,0.678
Random-Min,10,22500000,0.312
Random,21000000,21000000,0.626
Ascending,21000000,21000000,0.472
Descending,21000000,21000000,0.443
Semi-Random,21000000,21000000,0.464
Random-Max,150000172,21000000,0.627
Random-Min,10,21000000,0.284
Random,19500000,19500000,0.573
Ascending,19500000,19500000,0.453
Descending,19500000,19500000,0.406
Semi-Random,19500000,19500000,0.432
Random-Max,150000174,19500000,0.578
Random-Min,10,19500000,0.267
Random,18000000,18000000,0.526
Ascending,18000000,18000000,0.398
Descending,18000000,18000000,0.373
Semi-Random,18000000,18000000,0.396
Random-Max,150000176,18000000,0.537
Random-Min,10,18000000,0.25
Random,16500000,16500000,0.496
Ascending,16500000,16500000,0.366
Descending,16500000,16500000,0.347
